name,p_grasping_correctly
champion_copper_plus_spark_plug,0.6
cheezit_big_original,0.9
crayola_64_ct,0.6
elmers_washable_no_run_school_glue,0.6
expo_dry_erase_board_eraser,0.9
feline_greenies_dental_treats,0.4
first_years_take_and_toss_straw_cup,0.4
genuine_joe_plastic_stir_sticks,0.9
highland_6539_self_stick_notes,0.6
kong_air_dog_squeakair_tennis_ball,0.4
kong_duck_dog_toy,0.4
kong_sitting_frog_dog_toy,0.2
kyjen_squeakin_eggs_plush_puppies,0.6
mark_twain_huckleberry_finn,0.8
mead_index_cards,0.8
mommys_helper_outlet_plugs,0.4
munchkin_white_hot_duck_bath_toy,0.4
oreo_mega_stuf,0.9
paper_mate_12_count_mirado_black_warrior,0.8
rolodex_jumbo_pencil_cup,0.9
safety_works_safety_glasses,0.6
sharpie_accent_tank_style_highlighters,0.6
stanley_66_052,0.8
dr_browns_bottle_brush,0.2
laugh_out_loud_joke_book,0.8
